Time (s),I (mA); w = 100,I (mA); w = 225,I (mA); w = 400,I (mA); w = 625,I (mA); w = 900,I (mA); w = 1225,I (mA); w = 1600
6.074,-0.01,-0.02,-0.024,-0.02,-0.024,-0.029,-0.024
6.094,-0.01,-0.024,-0.01,-0.024,-0.02,-0.024,-0.024
6.113,-0.01,-0.005,-0.02,-0.02,-0.024,-0.024,-0.015
6.133,-0.01,-0.015,-0.015,-0.024,-0.02,-0.015,-0.024
6.152,-0.024,-0.005,-0.02,-0.02,-0.015,-0.024,-0.024
6.172,-0.01,-0.02,-0.02,-0.02,-0.024,-0.02,-0.029
6.191,-0.01,-0.015,-0.02,-0.02,-0.024,-0.034,-0.015
6.211,-0.015,-0.02,-0.02,-0.005,-0.024,-0.02,-0.029
6.23,-0.015,-0.005,-0.02,-0.02,-0.02,-0.029,-0.015
6.25,-0.015,-0.02,-0.02,-0.024,-0.024,-0.02,-0.029
6.27,-0.015,-0.01,-0.01,-0.024,-0.024,-0.029,-0.024
6.289,-0.01,-0.024,-0.02,-0.015,-0.024,-0.024,-0.029
6.309,-0.01,-0.015,-0.015,-0.024,-0.024,-0.029,-0.015
6.328,-0.01,-0.02,-0.024,-0.02,-0.02,-0.01,-0.024
6.348,-0.015,-0.01,-0.015,-0.024,-0.015,-0.024,-0.02
6.367,-0.015,-0.015,-0.02,-0.024,-0.024,-0.02,-0.024
6.387,-0.01,-0.015,-0.02,-0.024,-0.02,-0.024,-0.024
6.406,-0.005,-0.01,-0.02,-0.01,-0.034,-0.024,-0.024
6.426,-0.01,-0.02,-0.02,-0.02,-0.02,-0.024,-0.029
6.445,-0.005,-0.015,-0.02,-0.02,-0.024,-0.02,-0.02
6.465,-0.02,-0.024,-0.015,-0.029,-0.01,-0.024,-0.024
6.484,-0.005,-0.01,-0.02,-0.015,-0.029,-0.02,-0.024
6.504,-0.015,-0.015,-0.02,-0.024,-0.024,-0.01,-0.024
6.523,-0.005,-0.02,-0.024,-0.01,-0.029,-0.029,-0.024
6.543,-0.015,-0.02,-0.02,-0.02,-0.015,-0.024,-0.024
6.562,-0.01,-0.02,-0.02,-0.02,-0.024,-0.024,-0.015
6.582,-0.015,-0.015,-0.01,-0.029,-0.015,-0.024,-0.024
6.602,0,-0.01,-0.024,-0.015,-0.029,-0.024,-0.024
6.621,-0.015,-0.01,-0.02,-0.024,-0.02,-0.024,-0.034
6.641,-0.01,-0.015,-0.024,-0.015,-0.029,-0.029,-0.024
6.66,-0.015,-0.024,-0.01,-0.024,-0.015,-0.024,-0.029
6.68,-0.015,-0.02,-0.024,-0.02,-0.024,-0.024,-0.02
6.699,-0.015,-0.02,-0.015,-0.029,-0.02,-0.015,-0.024
6.719,-0.005,-0.005,-0.02,-0.015,-0.024,-0.024,-0.024
6.738,-0.01,-0.015,-0.015,-0.024,-0.024,-0.024,-0.034
6.758,-0.01,-0.015,-0.02,-0.02,-0.02,-0.029,-0.015
6.777,-0.005,-0.024,-0.015,-0.02,-0.029,-0.024,-0.024
